,domain,change_numbers,change_duration_mean,change_duration_std,change_amp,label
124,toutiaoyule.com,3,5.0,3.559026084010437,1.0407788325333156,1
125,ipify.org,2,2.0,0.0,0.0,1
126,shuntv.net,2,2.0,0.0,0.0,1
127,guitarworld.com.cn,4,2.0,0.0,1.0455501054464489,1
128,moyumedia.com,2,5.5,3.5,1.2001170513760764,1
129,poletracker.org,2,2.0,0.0,0.0,1
130,jxnews.com.cn,2,2.0,0.0,0.0,1
131,ali213.net,2,8.0,4.0,1.8408898348626854,1
132,iclick.com.cn,2,2.0,0.0,0.0,1
133,gldjc.com,4,3.0,0.0,-5.551115123125783e-17,1
134,7dsw.com,2,2.0,0.0,0.0,1
135,concen.cc,3,2.6666666666666665,0.4714045207910317,1.0702002191881934,1
136,dnpz.net,3,2.3333333333333335,0.4714045207910317,0.863461617127239,1
137,klm123.com,4,2.0,0.0,0.9932446170205749,1
138,kousou.cc,1,3.0,0.0,3.1120323319491483,1
139,www.com,2,2.0,0.0,0.0,1
140,ctdns.net,1,2.0,0.0,3.0439038876405053,1
141,promlinkdev.com,2,3.0,0.0,0.33788509383665866,1
142,free.fr,3,2.6666666666666665,0.4714045207910317,0.7327694960009973,1
143,exacttarget.com,3,2.0,0.0,1.2647015450718546,1
144,jsyxw.cn,4,2.25,0.4330127018922193,0.4298229503119689,1
145,kaola100.com,2,2.0,0.0,0.0,1
146,daum.net,5,2.2,0.39999999999999997,1.2397570563264704,1
147,hao315.com,4,2.5,0.8660254037844386,0.7694598011918649,1
148,wfboer.com,4,2.0,0.0,5.551115123125783e-17,1
149,sucaijishi.com,4,2.5,0.5,-5.551115123125783e-17,1
150,com.com,3,2.0,0.0,0.6417112842390166,1
151,vfe.cc,2,2.0,0.0,0.0,1
152,ko.cn,2,3.0,0.0,0.0,1
153,heinote.com,4,2.0,0.0,5.551115123125783e-17,1
154,ow.ly,2,2.0,0.0,0.0,1
155,51kus.com,2,6.0,0.0,0.0,1
