,domain,domain_len,domain_name_entropy,digit_number,digit_number_ratio,digit_group,word_group,longest_substring_ratio
298,makesource.cool,15,49.848471431964306,0,0.0,0,3,0.4
299,hyz86.com,9,28.529325012980813,2,0.2222222222222222,1,4,0.3333333333333333
300,wkanx.com,9,28.529325012980813,0,0.0,0,3,0.4444444444444444
301,jxcad.com.cn,12,36.26466250649041,0,0.0,0,3,0.4166666666666667
302,50zera.com,10,33.219280948873624,2,0.2,1,2,0.4
303,97pd.com,8,24.0,2,0.25,1,2,0.375
304,etdown.tv,9,26.529325012980813,0,0.0,0,3,0.4444444444444444
305,tiepishihu.com,14,46.548081406643,0,0.0,0,5,0.2857142857142857
306,osdn.net,8,22.0,0,0.0,0,2,0.5
307,jupyter.org,11,36.05374780501027,0,0.0,0,5,0.2727272727272727
308,bytefence.com,13,41.350828833670725,0,0.0,0,3,0.38461538461538464
309,126.am,6,15.509775004326936,3,0.5,1,1,0.3333333333333333
310,fwxgx.com,9,26.529325012980813,0,0.0,0,4,0.3333333333333333
311,libplayer.com,13,46.10571633583419,0,0.0,0,3,0.46153846153846156
312,wxbgf.top,9,28.529325012980813,0,0.0,0,3,0.3333333333333333
313,cdn321.com,10,31.21928094887362,3,0.3,1,2,0.3
314,uestc.edu.cn,12,35.01955000865387,0,0.0,0,3,0.3333333333333333
315,trackerlist.xyz,15,54.60335893412777,0,0.0,0,3,0.4666666666666667
316,owengame.com,12,37.01955000865387,0,0.0,0,2,0.5833333333333334
317,woaoo.net,9,23.774437510817343,0,0.0,0,3,0.3333333333333333
318,upeer.me,8,19.24511249783653,0,0.0,0,3,0.5
319,smartgslb.com,13,44.10571633583419,0,0.0,0,3,0.38461538461538464
320,sharewithu.com,14,51.30296890880647,0,0.0,0,3,0.35714285714285715
321,66vod.net,9,26.529325012980813,2,0.2222222222222222,1,2,0.3333333333333333
322,heimi001.com,12,37.01955000865387,3,0.25,1,3,0.3333333333333333
323,poletracker.org,15,49.8484714319643,0,0.0,0,3,0.4666666666666667
324,qupeiyin.com,12,41.01955000865388,0,0.0,0,4,0.3333333333333333
325,iamhansen.xyz,13,44.105716335834195,0,0.0,0,4,0.46153846153846156
326,pingan.com.cn,13,39.350828833670725,0,0.0,0,4,0.3076923076923077
327,72zx.com,8,24.0,2,0.25,1,2,0.375
328,fanxing.com,11,36.05374780501027,0,0.0,0,3,0.36363636363636365
329,jekyllrb.com,12,41.01955000865388,0,0.0,0,3,0.5
330,wandoujia.com,13,44.105716335834195,0,0.0,0,4,0.3076923076923077
331,1360.com,8,24.0,4,0.5,1,1,0.375
332,0311bj.cn,9,26.529325012980813,4,0.4444444444444444,1,2,0.3333333333333333
333,kuaizip.com,11,36.05374780501027,0,0.0,0,3,0.36363636363636365
334,jianshe99.com,13,46.105716335834195,2,0.15384615384615385,1,2,0.5384615384615384
335,wfboer.com,10,31.21928094887362,0,0.0,0,3,0.4
336,xitongzhijia.net,16,55.24511249783653,0,0.0,0,1,0.9375
337,voicefive.com,13,38.105716335834195,0,0.0,0,3,0.38461538461538464
338,heinote.com,11,34.05374780501027,0,0.0,0,4,0.36363636363636365
339,3wk.cc,6,13.509775004326936,1,0.16666666666666666,1,2,0.3333333333333333
340,shenchuang.com,14,47.30296890880647,0,0.0,0,3,0.42857142857142855
341,juluoluo.com,12,31.509775004326944,0,0.0,0,4,0.25
342,maihehd.com,11,34.05374780501027,0,0.0,0,4,0.2727272727272727
343,xinshiye.cc,11,34.05374780501027,0,0.0,0,1,0.9090909090909091
344,icanhazip.com,13,42.10571633583419,0,0.0,0,5,0.23076923076923078
345,haotukankan.com,15,47.848471431964306,0,0.0,0,4,0.3333333333333333
346,yiwanzhushou.com,16,58.0,0,0.0,0,1,0.9375
347,anzhi.com,9,28.529325012980813,0,0.0,0,3,0.3333333333333333
348,iphy.ac.cn,10,29.21928094887362,0,0.0,0,3,0.4
349,wasu.cn,7,19.651484454403235,0,0.0,0,2,0.42857142857142855
350,sektori.org,11,34.05374780501027,0,0.0,0,3,0.5454545454545454
351,xbbav.cc,8,20.0,0,0.0,0,2,0.5
352,lclk.info,9,26.529325012980813,0,0.0,0,3,0.4444444444444444
353,atw.hu,6,15.509775004326936,0,0.0,0,2,0.5
354,filepit.to,10,29.21928094887362,0,0.0,0,3,0.4
355,concen.cc,9,18.529325012980813,0,0.0,0,2,0.6666666666666666
356,trafficforce.com,16,50.49022499567306,0,0.0,0,3,0.4375
357,yanfabu.com,11,36.05374780501027,0,0.0,0,3,0.36363636363636365
358,xuanwu88.com,12,39.01955000865387,2,0.16666666666666666,1,3,0.3333333333333333
359,upantool.com,12,38.26466250649041,0,0.0,0,4,0.3333333333333333
360,xgsdk.com,9,28.529325012980813,0,0.0,0,3,0.3333333333333333
361,my.com,6,13.509775004326936,0,0.0,0,2,0.5
362,redirectme.net,14,41.30296890880647,0,0.0,0,3,0.5714285714285714
363,xiazaiba.com,12,36.26466250649041,0,0.0,0,4,0.3333333333333333
364,16pic.com,9,26.529325012980813,2,0.2222222222222222,1,2,0.3333333333333333
365,promlinkdev.com,15,54.60335893412777,0,0.0,0,4,0.26666666666666666
366,5ibrz.com,9,28.529325012980813,1,0.1111111111111111,1,3,0.3333333333333333
367,ko.cn,5,11.60964047443681,0,0.0,0,2,0.6
368,56.com,6,15.509775004326936,2,0.3333333333333333,1,1,0.5
369,yx-g.com,8,24.0,0,0.0,0,3,0.375
370,webcompanion.com,16,53.24511249783653,0,0.0,0,3,0.5625
371,guitarworld.com.cn,18,67.05865002596164,0,0.0,0,3,0.4444444444444444
372,clientsolutions.cn,18,58.30376252379816,0,0.0,0,3,0.5
373,yikuai.com,10,31.21928094887362,0,0.0,0,3,0.4
374,qquu8.com,9,24.529325012980813,1,0.1111111111111111,1,3,0.3333333333333333
375,hao76.com,9,26.529325012980813,2,0.2222222222222222,1,2,0.3333333333333333
