,domain,ip_count,subdomain_count,number_of_domains,ip_entropy,subdomain_entropy
472,artstation.com,0,0,0,0.0,0.0
473,zcool.com.cn,1,1,0,0.0,0.0
474,google.com.co,0,0,0,0.0,0.0
475,mydrivers.com,3,5,0,0.579380164285695,0.8277293767706428
476,tsite.jp,0,0,0,0.0,0.0
477,hotpepper.jp,0,0,0,0.0,0.0
478,fitbit.com,0,0,0,0.0,0.0
479,idealo.de,0,0,0,0.0,0.0
480,elmogaz.com,0,0,0,0.0,0.0
481,ibaotu.com,0,0,0,0.0,0.0
482,pochta.ru,0,0,0,0.0,0.0
483,orange.fr,0,0,0,0.0,0.0
484,kayak.com,0,0,0,0.0,0.0
485,hujiang.com,0,0,0,0.0,0.0
486,time-weekly.com,0,0,0,0.0,0.0
487,eskimi.com,0,0,0,0.0,0.0
488,gyazo.com,0,0,0,0.0,0.0
489,google.hr,0,0,0,0.0,0.0
490,runoob.com,0,0,0,0.0,0.0
491,so.com,0,0,0,0.0,0.0
492,appledaily.com.tw,0,0,0,0.0,0.0
493,panipuri.com,0,0,0,0.0,0.0
494,pornmd.com,0,0,0,0.0,0.0
495,nouvelobs.com,0,0,0,0.0,0.0
496,chaoxing.com,0,0,0,0.0,0.0
497,uc.cn,0,0,0,0.0,0.0
498,canva.com,0,0,0,0.0,0.0
499,yifysubtitles.com,0,0,0,0.0,0.0
500,etsy.com,0,0,0,0.0,0.0
501,163.com,0,0,0,0.0,0.0
502,chsi.com.cn,0,0,0,0.0,0.0
503,bankmellat.ir,0,0,0,0.0,0.0
504,yomiuri.co.jp,0,0,0,0.0,0.0
505,welt.de,0,0,0,0.0,0.0
506,xhamster.com,0,0,0,0.0,0.0
507,sina.com.cn,70,72,178,0.6417066381318416,0.4456150957638155
508,foursquare.com,0,0,0,0.0,0.0
509,itools.cn,0,0,0,0.0,0.0
510,xiaohongshu.com,0,0,0,0.0,0.0
511,thekitchn.com,0,0,0,0.0,0.0
